hiligaynon,english
abyan,friend
adlaw,day
aga,morning
ako,me / I
balay,house
bakal,buy
basa,read
bata,child
bwas,tomorrow
bulig,help
buligan,help
daku,big
dalan,road
diin,where
eskwelahan,school
gab-i,night / evening
gamay,small
gwapa,beautiful
gwapo,handsome
hambal,speak
hapon,afternoon
hatag,give
hinay,slow
huo,yes
ikaw,you
indi,no
inom,drink
ido,dog
kuring,cat
kaon,eat
kan-on,rice
kami,we
kapoy,tired
lakat,walk
libro,book
maayong,good
maestra,teacher
maestro,teacher
mainit,hot
mangga,mango
mapait,bitter
masadya,happy
matam-is,sweet
matugnaw,cold
merkado,market
mo,you / your
nanay,mother
ngaa,why
ngalan,name
pagkaon,food
palihog,please
pamati,listen
pila,how much
plete,fare
puno,tree
pwede,can / may
salamat,thank you
sang,of
san-o,when
sila,they
subong,now
sulat,write
tagpila,how much
tatay,father
terminal,terminal
tindahan,store
tubig,water
tuon,study
